age,attendance_percent,avg_marks,prev_failures,parents_education,family_income,extracurricular,behavior_issues,dropout
22,95.7,53.4,0,5,3,4,2,0
19,75.0,41.9,0,3,1,2,1,0
23,68.9,33.1,0,0,2,3,3,0
20,77.5,85.7,1,3,2,2,1,1
22,96.8,71.2,0,5,1,2,0,0
25,82.0,100.0,0,6,4,5,1,0
18,58.9,50.0,0,2,3,0,1,1
22,87.0,70.0,3,2,0,2,1,1
23,66.1,42.1,1,4,4,9,4,0
20,47.7,58.1,1,5,1,0,1,0
19,100.0,65.6,2,4,2,4,1,0
23,86.9,62.5,0,4,2,3,0,0
23,78.8,71.1,0,4,0,0,0,1
18,74.8,89.4,0,2,3,1,1,0
21,100.0,87.3,1,3,3,1,1,0
20,100.0,54.6,0,2,3,4,0,0
17,86.7,69.4,0,5,1,3,0,0
23,64.6,85.9,0,1,1,4,1,0
21,77.7,90.7,0,4,1,2,2,1
17,86.5,56.8,0,2,5,5,1,0
20,44.8,84.2,3,3,0,2,1,0
16,85.0,76.6,1,2,2,0,0,0
25,86.5,48.7,2,3,4,2,1,0
21,99.9,86.0,3,2,3,2,1,0
24,98.3,73.0,0,5,4,4,0,1
16,81.7,35.2,0,3,5,4,1,0
25,100.0,64.1,1,4,2,1,1,0
18,100.0,70.8,2,3,2,5,0,0
22,80.4,57.9,0,3,0,3,1,0
19,86.3,94.6,3,3,1,0,1,0
24,53.5,95.3,0,6,2,6,2,0
18,58.2,62.4,0,3,1,2,0,0
20,67.4,60.2,1,2,3,5,2,0
18,73.3,67.4,0,6,0,2,0,0
22,63.6,66.0,0,2,1,4,0,0
20,79.5,58.1,0,5,3,6,1,0
24,73.8,20.0,0,2,1,4,1,0
22,96.1,100.0,1,4,3,1,4,1
17,72.9,70.0,2,2,5,1,1,1
19,45.7,66.4,2,6,3,0,1,1
24,81.9,76.5,1,4,2,2,3,0
17,79.8,68.4,0,3,4,1,1,0
25,67.1,61.4,0,1,0,3,0,0
24,81.4,49.9,0,3,3,4,1,0
25,63.9,33.2,0,4,0,3,3,0
20,84.9,42.9,0,3,1,3,2,0
17,100.0,47.7,1,2,5,3,1,1
19,52.9,83.0,2,4,2,4,2,0
22,72.3,84.5,0,3,4,4,1,1
23,69.9,52.4,1,2,2,4,2,0
18,73.5,20.0,0,2,4,3,0,0
16,95.3,70.2,1,4,5,1,0,1
19,88.1,61.6,1,6,2,2,1,0
17,92.7,61.1,0,2,2,4,2,1
23,80.5,89.1,0,5,3,3,2,0
19,60.2,72.8,2,1,4,0,1,1
17,63.3,50.5,1,3,1,3,0,0
21,91.2,45.9,2,3,3,1,0,0
21,82.6,64.7,1,2,2,6,2,1
25,98.9,51.9,3,3,1,6,0,0
19,84.4,68.6,0,5,0,1,2,0
21,62.3,90.5,0,6,3,5,0,0
17,72.2,42.4,0,1,4,2,1,1
25,88.5,71.8,0,2,2,2,1,0
17,90.7,88.3,0,6,2,2,2,0
25,92.8,68.3,1,2,3,5,1,0
19,64.3,84.4,0,4,2,0,1,1
23,62.0,64.3,0,2,4,1,1,1
22,77.2,73.4,2,3,2,1,3,0
24,100.0,78.8,0,2,1,2,1,0
23,69.6,58.6,0,5,1,2,0,0
20,86.8,100.0,1,5,4,2,1,0
17,86.8,81.6,1,2,5,3,1,0
20,91.4,96.1,0,5,1,2,2,0
23,100.0,91.4,0,3,1,4,0,0
25,100.0,76.5,1,1,2,2,0,0
24,71.1,97.7,0,5,3,2,3,1
24,48.5,73.8,0,4,3,4,3,1
16,69.8,55.4,1,2,5,2,1,0
24,81.1,70.3,0,2,4,4,0,1
22,74.6,49.9,0,6,4,0,1,1
24,100.0,28.0,0,5,2,5,0,0
23,80.3,52.9,3,5,2,2,1,0
16,89.8,71.5,3,1,3,2,1,0
23,83.3,91.2,0,5,2,1,2,0
23,74.8,52.9,0,2,1,3,0,0
18,51.1,90.2,0,6,1,1,1,0
16,78.8,45.8,0,1,2,3,1,0
23,100.0,51.6,0,3,2,3,1,0
18,61.3,99.0,1,3,2,2,1,0
18,52.8,71.0,0,5,1,4,1,0
16,100.0,66.5,0,5,2,2,2,0
20,91.1,74.7,0,3,1,4,2,0
25,82.8,45.9,0,4,3,1,0,0
22,100.0,63.4,0,5,2,3,0,1
25,67.5,70.1,0,0,4,3,2,0
24,78.4,94.6,1,5,3,2,1,0
22,94.3,36.6,1,6,3,3,3,1
24,100.0,100.0,0,0,3,1,1,0
23,62.5,67.5,0,0,2,2,0,0
17,99.2,47.8,0,3,0,2,1,0
16,85.7,44.2,0,1,3,3,1,0
22,82.4,75.5,1,3,2,1,1,0
22,79.9,43.1,0,4,2,3,2,0
23,59.2,58.8,1,4,2,6,1,0
20,94.4,65.0,1,2,4,1,0,1
